'Index Name', 'Run', 'Phase', 'Population', 'Load Elapsed', 'COMPLETE Elapsed', 'COMPLETE Count', 'HIGHCARD Elapsed', 'HIGHCARD Count', 'LOWCARD Elapsed', 'LOWCARD Count'
'Hamming','GateKeeper', 3,'Delete',1000,21624451,0.019275200000000003,1,1.7300000000000002E-6,0,5.54E-7,0
'Hamming','GateKeeper', 4,'Query',1000,23242760,0.021264134,1,0.0,0,0.0,0
'Hamming','GateKeeper', 4,'Delete',1000,23242760,0.02090378,1,5.9820000000000005E-6,0,7.29E-7,0
'Hamming','GateKeeper', 0,'Query',10000,2761693601,0.20377102900000002,10,0.0,0,0.0,0
'Hamming','GateKeeper', 0,'Delete',10000,2761693601,0.193995041,10,6.6310000000000005E-6,0,4.95E-7,0
'Hamming','GateKeeper', 1,'Query',10000,1873408400,0.197157555,10,0.0,0,0.0,0
'Hamming','GateKeeper', 1,'Delete',10000,1873408400,0.183433965,10,5.33E-7,0,5.590000000000001E-7,0
'Hamming','GateKeeper', 2,'Query',10000,1869702995,0.193095376,10,0.0,0,0.0,0
'Hamming','GateKeeper', 2,'Delete',10000,1869702995,0.20000521000000002,10,4.96E-7,0,6.46E-7,0
'Hamming','GateKeeper', 3,'Query',10000,1873106712,0.195699956,10,0.0,0,0.0,0
'Hamming','GateKeeper', 3,'Delete',10000,1873106712,0.207768106,10,5.32E-7,0,8.15E-7,0
'Hamming','GateKeeper', 4,'Query',10000,1887575811,0.20077197900000002,10,0.0,0,0.0,0
'Hamming','GateKeeper', 4,'Delete',10000,1887575811,0.232040339,10,7.06E-7,0,5.12E-7,0
'List','GateKeeper', 0,'Query',100,32628,0.034237927,1,0.0,0,0.0,0
'List','GateKeeper', 0,'Delete',100,32628,0.019414144,1,4.77E-7,0,4.56E-7,0
'List','GateKeeper', 1,'Query',100,21036,0.017358520000000002,1,0.0,0,0.0,0
'List','GateKeeper', 1,'Delete',100,21036,0.023217067,1,4.81E-7,0,4.5300000000000005E-7,0
'List','GateKeeper', 2,'Query',100,32289,0.015606866,1,0.0,0,0.0,0
'List','GateKeeper', 2,'Delete',100,32289,0.03163867,1,3.42E-7,0,4.91E-7,0
'List','GateKeeper', 3,'Query',100,17830,0.020274734000000003,1,0.0,0,0.0,0
'List','GateKeeper', 3,'Delete',100,17830,0.040622319000000004,1,3.47E-7,0,4.33E-7,0
'List','GateKeeper', 4,'Query',100,31977,0.011566603,1,0.0,0,0.0,0
'List','GateKeeper', 4,'Delete',100,31977,0.011727458000000001,1,5.27E-7,0,5.27E-7,0
'List','GateKeeper', 0,'Query',1000,105115,0.194910096,1,0.0,0,0.0,0
'List','GateKeeper', 0,'Delete',1000,105115,0.21951726700000002,1,3.075E-6,0,1.04E-7,0
'List','GateKeeper', 1,'Query',1000,101361,0.179498512,1,0.0,0,0.0,0
'List','GateKeeper', 1,'Delete',1000,101361,0.16914116,1,1.3200000000000002E-7,0,1.1800000000000001E-7,0
'List','GateKeeper', 2,'Query',1000,105955,0.16223488400000002,1,0.0,0,0.0,0
'List','GateKeeper', 2,'Delete',1000,105955,0.168299626,1,1.11E-7,0,1.13E-7,0
'List','GateKeeper', 3,'Query',1000,105553,0.187095963,1,0.0,0,0.0,0
'List','GateKeeper', 3,'Delete',1000,105553,0.167808706,1,1.17E-7,0,1.13E-7,0
'List','GateKeeper', 4,'Query',1000,96601,0.08035015000000001,1,0.0,0,0.0,0
'List','GateKeeper', 4,'Delete',1000,96601,0.17128341200000002,1,1.04E-7,0,1.1E-7,0
'List','GateKeeper', 0,'Query',10000,1451955,1.337154948,10,0.0,0,0.0,0
'List','GateKeeper', 0,'Delete',10000,1451955,13.553898935000001,10,2.0000000000000002E-7,0,2.6900000000000004E-7,0
'List','GateKeeper', 1,'Query',10000,1486239,1.07503484,10,0.0,0,0.0,0
'List','GateKeeper', 1,'Delete',10000,1486239,12.988986112000001,10,5.040000000000001E-7,0,3.56E-7,0
'List','GateKeeper', 2,'Query',10000,1478568,1.224643871,10,0.0,0,0.0,0
'List','GateKeeper', 2,'Delete',10000,1478568,13.448044703,10,4.7400000000000004E-7,0,2.8800000000000004E-7,0
'List','GateKeeper', 3,'Query',10000,1481059,1.498541715,10,0.0,0,0.0,0
'List','GateKeeper', 3,'Delete',10000,1481059,13.410948785,10,4.16E-7,0,2.61E-7,0
'List','GateKeeper', 4,'Query',10000,1445152,1.113530431,10,0.0,0,0.0,0
'List','GateKeeper', 4,'Delete',10000,1445152,13.493539095000001,10,2.5200000000000003E-7,0,1.96E-7,0
'List','GateKeeper', 0,'Query',100000,7140394,20.837966700000003,100,0.0,0,0.0,0
'List','GateKeeper', 0,'Delete',100000,7140394,1005.7554464650001,100,2.8E-7,0,2.01E-7,0
'List','GateKeeper', 1,'Query',100000,7359058,20.577820526,100,0.0,0,0.0,0
'List','GateKeeper', 1,'Delete',100000,7359058,1003.4177189060001,100,3.8300000000000003E-7,0,2.3000000000000002E-7,0
'List','GateKeeper', 2,'Query',100000,7158911,20.896158929000002,100,0.0,0,0.0,0
'List','GateKeeper', 2,'Delete',100000,7158911,1000.6399511200001,100,2.3800000000000001E-7,0,2.1100000000000002E-7,0
'List','GateKeeper', 3,'Query',100000,7061349,20.381434927,100,0.0,0,0.0,0
'List','GateKeeper', 3,'Delete',100000,7061349,1003.3721460050001,100,2.43E-7,0,2.44E-7,0
'List','GateKeeper', 4,'Query',100000,7109721,20.708311865000002,100,0.0,0,0.0,0
'List','GateKeeper', 4,'Delete',100000,7109721,1002.369376134,100,2.2500000000000002E-7,0,1.91E-7,0
